cl data,,na data,,k data,,a data,
X,Y,X,Y,X,Y,X,Y
-0.0018229019497031096,139.68410839802098,2.490487425826505,129.06718860915652,-0.00020184805814563167,0.2793941709786054,0.006739726027397253,18.053161571260098
0.08937694263916376,139.69276149387662,2.40673566960221,123.45749164533811,0.0895287039653386,-0.21861617002414846,0.08761643835616437,18.074934228431466
0.1725060045210514,139.70064882903705,2.320517938997206,116.65324458337047,0.17638331606542976,-0.04153400926173845,0.1684931506849315,18.29538238229157
0.2659656682678726,139.70951633788724,2.2338863477598823,109.86138497691528,0.2688426383787009,0.1360799297609958,0.2527397260273977,18.119386736823003
0.3508703023452955,139.7175721404007,2.14936899547895,101.81327623140913,0.3500925402656121,0.3126303122626837,0.3470958904109589,19.932867640388274
0.4322237920316475,139.7252910082081,2.062735255564976,95.04113708996815,0.4341447972591129,0.48944658389476103,0.4313424657534244,20.750249478363408
0.585847343882453,132.73767871897422,1.9747309150419143,86.48617346742995,0.5179946960064052,2.5234984304882175,0.5122191780821919,22.560101605733458
0.603793444475841,111.7328169043204,1.894150625176604,79.38205877145265,0.5625380384446329,5.229186220153309,0.5762465753424656,27.34555021319059
0.6243543373834419,83.02579618053869,1.810345201092588,72.37191907883411,0.6066214757778409,12.155863952912853,0.5964657534246572,31.52317880794702
0.6382269002543095,62.3706572753774,1.7244606919719954,66.45999636348753,0.6477553883708521,20.432992578332403,0.6166849315068492,35.10478091263722
0.6563082791749083,56.42051289119837,1.6325532557847484,61.21719449275116,0.6909374116982202,35.632810599557416,0.6369041095890409,38.487707520638665
0.6937771969482907,48.82863883739148,1.5488137342626611,58.17010505981486,0.7687410913315127,41.71848101326131,0.6604931506849311,43.26226979951011
0.7795973438824529,44.878600128188396,1.4622718576339842,55.12274973774822,0.863892391526169,42.90939842775714,0.6706027397260271,49.22525628231878
0.9543458604125462,41.04397687096383,1.2886362182506037,54.09322702532853,0.9535493587328502,43.086746477649655,0.6807123287671227,54.79089177174997
1.0415484600169542,40.70214129663191,1.3754908303506963,54.27030918609083,1.0405327442623469,42.08195145434544,0.7683287671232871,60.973419214369954
1.1228638033342753,41.05996595427942,1.1208260435308148,51.03816091848398,1.1274977335876426,41.245996028765006,0.8559452054794514,62.18905923977138
1.20991381746256,42.11855353930767,1.1963424617751415,52.39605670679168,1.2087844278829554,41.084867215819145,0.9368219178082184,62.21083189694275
1.2968875388527836,43.87735270401586,0.9498639858246211,51.190781279261074,1.2928918734890587,40.75516469427981,1.0311780821917804,61.242855846865645
1.380016600734671,43.885240039176324,0.7786627774638153,53.53831641044741,1.3770177152993626,40.256622575016706,1.1221643835616435,61.267350086183434
1.4612291607798815,45.18640529722617,0.6883435469059058,59.43919387861109,1.4640562894414626,38.745308758541086,1.2064109589041092,60.89267894402612
1.5463245267024583,47.88837659498387,0.6595657514677721,66.3589584939835,1.551315618033971,35.207919769380084,1.290657534246575,59.72330581511385
1.6291632523311679,50.56095799726012,0.6393237947788142,72.0976435926803,1.6356438180904842,32.85214207515526,1.3715342465753417,59.54640297559648
1.723826292738061,55.82158082106386,0.6230492861291642,92.86358466705443,1.7229767314997961,28.6393946950991,1.4625205479452048,57.38546675133811
1.8040470471884713,61.78105217051038,0.6031078007754859,121.56472094531627,1.8103280411133096,24.25780771731931,1.5467671232876703,54.82536514560464
1.8927083922011865,68.79165259581382,0.5868516883300369,142.16182242196663,1.8948585994160312,20.044794448132848,1.6310136986301362,52.066588043182435
1.9790452811528678,76.39527341868498,0.34220056866346693,149.90531156292693,1.982025946987536,17.351603447590804,1.7219999999999995,47.52154585865917
2.065309056230574,84.66993033874954,0.4234688667545775,149.91302234770487,2.0719588572572287,14.99635753162653,1.8096164383561646,43.77029846684205
2.1575215456343595,91.68086769875896,0.17123851095727002,150.05793192370402,2.15062715848796,13.146566852312645,1.8871232876712323,40.413680486256
2.2380623057360842,99.14778492232509,0.08716785775956817,150.04995524979583,2.2404312953282473,11.973198120414764,1.9747397260273984,37.25845958450513
2.324410850522747,106.64442897607847,0.003078808357665691,150.21081817361141,2.324630721955355,10.79929761025653,2.0623561643835604,34.50058967613171
2.406891424131111,112.60411473851946,0.2609322705723548,149.897600778149,2.4059910010674708,9.962810406415628,2.1432328767123274,32.33693186972693
2.4915936705283976,118.91412070379535,0.5215512954852286,149.92232846726444,2.4901536352861773,9.126589091704886,2.2308493150684927,31.367141431552184
2.5799116982198362,124.63122879321482,0.8573494748987477,51.51968613340961,2.5771370208156736,8.121794068400646,2.3184657534246567,30.59602649006621
2.6687372845436577,130.13442929004037,1.0339714314307245,50.861078757721714,2.6640468215283675,7.79235743599159,2.4027123287671226,30.022679851220182
2.747270415371575,135.286543823336,2.577296454585414,135.25934060006202,2.7510118108536634,6.956402010411097,2.4869589041095876,28.65463122561914
2.8341943345577842,137.50242554700208,2.6580128665505014,140.33223931655345,2.8378848191579547,6.964644573449505,2.5678356164383556,28.279052889413023
3.006595083356881,138.9192206700253,2.7472835134689655,144.0552189186455,2.9220106609682586,6.4661024541864265,2.6621917808219164,27.50975233602466
2.9235041678440243,138.56122754502485,2.8338989749144456,146.42721584981697,3.008938857885153,5.967826224053596,2.7464383561643833,26.936405697178607
3.0919839643967224,138.92732241818038,2.9177672698659385,148.29242809868683,3.0958302623936444,5.807229189368229,2.82731506849315,26.759502857661232
3.183183808985591,138.93597551403604,3.0073690484600175,148.97629494175072,3.179919311795548,5.646366265552729,2.9216712328767116,26.9835797877166
3.2663128708674773,138.94386284919645,3.0914029092493176,149.32195081110652,3.264026757401662,5.316663744013368,3.0969041095890404,25.441349904744627
3.440653433173213,138.8534265110947,3.1782943137578106,149.1613537764212,3.43506239992465,4.488684992341149,3.2687671232876703,25.288941304545027
3.686515964961853,138.63362256114792,3.267969677168694,149.16986222858995,3.6873847367429593,3.4995774277230396,3.440630136986303,24.739181710967976
0.8617307148912127,42.17304507037724,3.4417156937772777,149.18634735466694,,,3.689999999999998,23.41558559375848
,,3.691180486876398,148.70349269408996,,,,
